name	term	lev	seq	value
"cell-cell junction"	GO:0005911	2	ORTHOMCL17372	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12069	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8019	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11541	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11943	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7405	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2112	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5495	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL15677	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19582	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8207	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19810	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18295	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2326	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18149	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18142	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8074	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8695	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5342	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10976	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8193	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8447	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19994	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7857	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13721	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20641	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18823	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22129	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19998	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6710	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6713	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10377	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13573	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14279	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14019	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12363	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17702	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7878	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13705	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20405	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL1129	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL13564	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL3528	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3524	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21313	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11536	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10007	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL9898	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8658	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL4650	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12344	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18475	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19875	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL9851	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL21883	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10853	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL14759	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17212	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6283	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6538	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17053	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2198	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7410	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10619	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8288	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3103	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17931	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19679	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17154	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22185	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13485	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13482	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7586	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5734	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21969	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6540	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19009	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16166	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22550	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22553	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5955	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21947	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3331	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL9688	1
